Marker Name,Description,In,Out,Duration,Marker Type
卡点 090,,00:01:15:28,00:01:15:28,00:00:00:00,Comment
卡点 091,,00:01:17:23,00:01:17:23,00:00:00:00,Comment
卡点 092,,00:01:19:05,00:01:19:05,00:00:00:00,Comment
卡点 093,,00:01:19:19,00:01:19:19,00:00:00:00,Comment
卡点 094,,00:01:20:16,00:01:20:16,00:00:00:00,Comment
卡点 095,,00:01:21:28,00:01:21:28,00:00:00:00,Comment
卡点 096,,00:01:22:03,00:01:22:03,00:00:00:00,Comment
卡点 097,,00:01:22:12,00:01:22:12,00:00:00:00,Comment
卡点 098,,00:01:22:25,00:01:22:25,00:00:00:00,Comment
卡点 099,,00:01:23:02,00:01:23:02,00:00:00:00,Comment
卡点 100,,00:01:23:05,00:01:23:05,00:00:00:00,Comment
卡点 101,,00:01:23:09,00:01:23:09,00:00:00:00,Comment
卡点 102,,00:01:23:22,00:01:23:22,00:00:00:00,Comment
卡点 103,,00:01:24:06,00:01:24:06,00:00:00:00,Comment
卡点 104,,00:01:24:20,00:01:24:20,00:00:00:00,Comment
卡点 105,,00:01:25:04,00:01:25:04,00:00:00:00,Comment
卡点 106,,00:01:26:02,00:01:26:02,00:00:00:00,Comment
卡点 107,,00:01:26:16,00:01:26:16,00:00:00:00,Comment
卡点 108,,00:01:26:22,00:01:26:22,00:00:00:00,Comment
卡点 109,,00:01:26:29,00:01:26:29,00:00:00:00,Comment
卡点 110,,00:01:27:27,00:01:27:27,00:00:00:00,Comment
卡点 111,,00:01:28:11,00:01:28:11,00:00:00:00,Comment
卡点 112,,00:01:28:24,00:01:28:24,00:00:00:00,Comment
卡点 113,,00:01:29:08,00:01:29:08,00:00:00:00,Comment
卡点 114,,00:01:29:15,00:01:29:15,00:00:00:00,Comment
卡点 115,,00:01:29:22,00:01:29:22,00:00:00:00,Comment
卡点 116,,00:01:30:13,00:01:30:13,00:00:00:00,Comment
卡点 117,,00:01:30:20,00:01:30:20,00:00:00:00,Comment
卡点 118,,00:01:31:18,00:01:31:18,00:00:00:00,Comment
卡点 119,,00:01:31:24,00:01:31:24,00:00:00:00,Comment
卡点 120,,00:01:32:01,00:01:32:01,00:00:00:00,Comment
卡点 121,,00:01:32:08,00:01:32:08,00:00:00:00,Comment
卡点 122,,00:01:32:16,00:01:32:16,00:00:00:00,Comment
卡点 123,,00:01:33:13,00:01:33:13,00:00:00:00,Comment
卡点 124,,00:01:34:03,00:01:34:03,00:00:00:00,Comment
卡点 125,,00:01:34:11,00:01:34:11,00:00:00:00,Comment
卡点 126,,00:01:35:09,00:01:35:09,00:00:00:00,Comment
卡点 127,,00:01:35:23,00:01:35:23,00:00:00:00,Comment
卡点 128,,00:01:35:28,00:01:35:28,00:00:00:00,Comment
卡点 129,,00:01:36:06,00:01:36:06,00:00:00:00,Comment
卡点 130,,00:01:36:12,00:01:36:12,00:00:00:00,Comment
卡点 131,,00:01:36:20,00:01:36:20,00:00:00:00,Comment
卡点 132,,00:01:37:04,00:01:37:04,00:00:00:00,Comment
卡点 133,,00:01:37:18,00:01:37:18,00:00:00:00,Comment
卡点 134,,00:01:37:23,00:01:37:23,00:00:00:00,Comment
卡点 135,,00:01:38:01,00:01:38:01,00:00:00:00,Comment
卡点 136,,00:01:38:14,00:01:38:14,00:00:00:00,Comment
卡点 137,,00:01:38:29,00:01:38:29,00:00:00:00,Comment
卡点 138,,00:01:39:13,00:01:39:13,00:00:00:00,Comment
卡点 139,,00:01:39:18,00:01:39:18,00:00:00:00,Comment
卡点 140,,00:01:39:27,00:01:39:27,00:00:00:00,Comment
卡点 141,,00:01:40:25,00:01:40:25,00:00:00:00,Comment
卡点 142,,00:01:41:09,00:01:41:09,00:00:00:00,Comment
卡点 143,,00:01:41:14,00:01:41:14,00:00:00:00,Comment
卡点 144,,00:01:41:22,00:01:41:22,00:00:00:00,Comment
卡点 145,,00:01:42:20,00:01:42:20,00:00:00:00,Comment
卡点 146,,00:01:43:10,00:01:43:10,00:00:00:00,Comment
卡点 147,,00:01:43:18,00:01:43:18,00:00:00:00,Comment
卡点 148,,00:01:44:01,00:01:44:01,00:00:00:00,Comment
卡点 149,,00:01:44:15,00:01:44:15,00:00:00:00,Comment
卡点 150,,00:01:44:20,00:01:44:20,00:00:00:00,Comment
卡点 151,,00:01:44:29,00:01:44:29,00:00:00:00,Comment
卡点 152,,00:01:45:05,00:01:45:05,00:00:00:00,Comment
卡点 153,,00:01:45:13,00:01:45:13,00:00:00:00,Comment
卡点 154,,00:01:46:11,00:01:46:11,00:00:00:00,Comment
卡点 155,,00:01:46:25,00:01:46:25,00:00:00:00,Comment
卡点 156,,00:01:47:00,00:01:47:00,00:00:00:00,Comment
卡点 157,,00:01:47:08,00:01:47:08,00:00:00:00,Comment
卡点 158,,00:01:47:22,00:01:47:22,00:00:00:00,Comment
卡点 159,,00:01:48:06,00:01:48:06,00:00:00:00,Comment
卡点 160,,00:01:48:20,00:01:48:20,00:00:00:00,Comment
卡点 161,,00:01:48:26,00:01:48:26,00:00:00:00,Comment
卡点 162,,00:01:49:04,00:01:49:04,00:00:00:00,Comment
卡点 163,,00:01:50:02,00:01:50:02,00:00:00:00,Comment
卡点 164,,00:01:50:16,00:01:50:16,00:00:00:00,Comment
卡点 165,,00:01:50:21,00:01:50:21,00:00:00:00,Comment
卡点 166,,00:01:50:29,00:01:50:29,00:00:00:00,Comment
卡点 167,,00:01:51:13,00:01:51:13,00:00:00:00,Comment
卡点 168,,00:01:51:19,00:01:51:19,00:00:00:00,Comment
卡点 169,,00:01:51:27,00:01:51:27,00:00:00:00,Comment
卡点 170,,00:01:52:12,00:01:52:12,00:00:00:00,Comment
卡点 171,,00:01:52:17,00:01:52:17,00:00:00:00,Comment
卡点 172,,00:01:52:25,00:01:52:25,00:00:00:00,Comment
